Movie Title,Movie Year,Runtime,Genre,Rating,Director,Votes,gross
The Descent,2005,99,Adventure Horror Thriller,7.2,Neil Marshall,233687,26.02
The Exorcist III,1990,110,Drama Horror Mystery,6.5,William Peter Blatty,34521,26.1
Jacob's Ladder I,1990,113,Drama Horror Mystery,7.4,Adrian Lyne,113045,26.12
Book of Shadows: Blair Witch 2,2000,90,Adventure Fantasy Horror,4,Joe Berlinger,39110,26.44
The Woman in Black 2: Angel of Death,2014,98,Drama Horror Thriller,4.8,Tom Harper,28992,26.5
An American Werewolf in Paris,1997,98,Comedy Fantasy Horror,5.1,Anthony Waller,26134,26.57
The Forest I,2016,93,Horror Mystery Thriller,4.8,Jason Zada,44543,26.58
Event Horizon,1997,96,Horror Sci-Fi Thriller,6.6,Paul W.S. Anderson,188518,26.67
Resident Evil: The Final Chapter,2016,107,Action Horror Sci-Fi,5.5,Paul W.S. Anderson,97554,26.83
One Missed Call,2008,87,Horror Mystery,4,Eric Valette,33249,26.88
Fantasy Island,2020,109,Fantasy Horror Mystery,4.9,Jeff Wadlow,55082,27.31
Midsommar,2019,148,Drama Horror Mystery,7.1,Ari Aster,354167,27.33
The Island of Dr. Moreau,1996,96,Horror Sci-Fi Thriller,4.5,John Frankenheimer,34527,27.66
Saw VI,2009,90,Horror Mystery Thriller,6,Kevin Greutert,116425,27.69
Oculus,2013,104,Horror Mystery Thriller,6.5,Mike Flanagan,133932,27.7
Sinister 2,2015,97,Horror Mystery Thriller,5.3,Ciarán Foy,57723,27.74
Rings,2017,102,Drama Horror Mystery,4.5,F. Javier Gutiérrez,41974,27.79
Happy Death Day 2U,2019,100,Comedy Horror Mystery,6.2,Christopher Landon,79669,28.15
Doom,2005,105,Action Horror Sci-Fi,5.2,Andrzej Bartkowiak,116192,28.21
Child's Play 2,1990,84,Horror Thriller,5.9,John Lafia,54569,28.5
The Uninvited,2009,87,Drama Fantasy Horror,6.3,Charles Guard,82545,28.57
28 Weeks Later,2007,100,Action Adventure Horror,6.9,Juan Carlos Fresnadillo,284000,28.64
Ready or Not I,2019,95,Action Comedy Horror,6.8,Matt Bettinelli-Olpin,164600,28.71
Priest,2011,87,Action Fantasy Horror,5.7,Scott Stewart,121940,29.14
Child's Play,2019,90,Drama Horror Sci-Fi,5.7,Lars Klevberg,54170,29.21
Twilight Zone: The Movie,1983,101,Horror Sci-Fi,6.4,Joe Dante,39519,29.5
The Fog,2005,100,Horror Mystery,3.7,Rupert Wainwright,38246,29.51
The Last House on the Left,1972,84,Crime Horror Thriller,5.9,Wes Craven,38780,3.1
The Skin I Live In,2011,120,Drama Horror Mystery,7.6,Pedro Almodóvar,158708,3.19
Pi,1998,84,Drama Horror Mystery,7.3,Darren Aronofsky,182946,3.22
Green Room,2015,95,Crime Drama Horror,7,Jeremy Saulnier,131693,3.22
What We Do in the Shadows,2014,86,Comedy Horror,7.6,Jemaine Clement,190548,3.33
Near Dark,1987,94,Horror,6.9,Kathryn Bigelow,42670,3.37
Scouts Guide to the Zombie Apocalypse,2015,93,Action Comedy Horror,6.3,Christopher Landon,52616,3.64
High Tension,2003,91,Horror,6.7,Alexandre Aja,74795,3.68
Friend Request,2016,92,Horror Mystery Thriller,5.2,Simon Verhoeven,27158,3.76
The Monster Squad,1987,79,Action Comedy Fantasy,6.9,Fred Dekker,33711,3.77
Curse of Chucky,2013,97,Horror Thriller,5.6,Don Mancini,41474,3.8
Damien: Omen II,1978,107,Horror,6.2,Don Taylor,33729,3.88
Morgan,2016,92,Action Horror Sci-Fi,5.8,Luke Scott,44898,3.91
P2,2007,98,Crime Horror Thriller,5.9,Franck Khalfoun,35242,3.99
A Nightmare on Elm Street 2: Freddy's Revenge,1985,87,Horror,5.4,Jack Sholder,73312,30
Daybreakers,2009,98,Action Horror Sci-Fi,6.4,Michael Spierig,131778,30.1
Ghost Ship,2002,91,Horror Mystery Thriller,5.6,Steve Beck,104944,30.11
Life I,2017,104,Horror Sci-Fi Thriller,6.6,Daniel Espinosa,240377,30.23
Queen of the Damned,2002,101,Drama Fantasy Horror,5.2,Michael Rymer,57951,30.34
Underworld: Blood Wars,2016,91,Action Adventure Fantasy,5.7,Anna Foerster,78499,30.35
Halloween: Resurrection,2002,90,Horror Thriller,3.9,Rick Rosenthal,46928,30.35
An American Werewolf in London,1981,97,Comedy Horror,7.5,John Landis,113179,30.57
Slender Man I,2018,93,Horror Mystery Thriller,3.2,Sylvain White,36238,30.57
Deliver Us from Evil I,2014,118,Action Adventure Crime,6.2,Scott Derrickson,81017,30.58
Open Water,2003,79,Adventure Drama Horror,5.8,Chris Kentis,55121,30.61
Predator 2,1990,108,Action Horror Sci-Fi,6.3,Stephen Hopkins,174998,30.67
Mirrors I,2008,110,Horror Mystery,6.1,Alexandre Aja,110546,30.69
Exorcist II: The Heretic,1977,117,Horror,3.8,John Boorman,25949,30.75
The Texas Chain Saw Massacre,1974,83,Horror,7.4,Tobe Hooper,170855,30.86
Crimson Peak,2015,119,Drama Horror Mystery,6.5,Guillermo del Toro,153040,31.09
The Mortal Instruments: City of Bones,2013,130,Action Adventure Fantasy,5.8,Harald Zwart,136448,31.17
The Eye,2008,98,Horror Mystery,5.4,David Moreau,55021,31.42
Doctor Sleep,2019,152,Drama Fantasy Horror,7.3,Mike Flanagan,202482,31.58
From Hell,2001,122,Horror Mystery Thriller,6.7,Albert Hughes,159793,31.6
House at the End of the Street,2012,101,Drama Horror Thriller,5.5,Mark Tonderai,78952,31.61
Quarantine,2008,89,Horror Sci-Fi Thriller,5.9,John Erick Dowdle,75253,31.69
Lake Placid,1999,82,Action Comedy Horror,5.8,Steve Miner,63404,31.77
Beast I,2022,93,Action Adventure Drama,5.6,Baltasar Kormákur,34598,31.85
Psycho,1960,109,Horror Mystery Thriller,8.5,Alfred Hitchcock,689068,32
Scary Movie V,2013,86,Comedy Horror,3.5,Malcolm D. Lee,74534,32.02
House of Wax,2005,113,Horror Thriller,5.4,Jaume Collet-Serra,129174,32.06
The Lawnmower Man,1992,108,Horror Sci-Fi,5.4,Brett Leonard,37519,32.1
The Lost Boys,1987,97,Comedy Horror,7.2,Joel Schumacher,150478,32.22
Anacondas: The Hunt for the Blood Orchid,2004,97,Action Adventure Horror,4.7,Dwight H. Little,32734,32.24
Bride of Chucky,1998,89,Comedy Horror Thriller,5.6,Ronny Yu,61366,32.4
Paranormal Activity: The Marked Ones,2014,84,Horror Mystery,5,Christopher Landon,44216,32.46
Unfriended,2014,83,Horror Mystery Thriller,5.6,Levan Gabriadze,78487,32.48
Darkness Falls,2003,86,Fantasy Horror Mystery,4.9,Jonathan Liebesman,32613,32.55
Don't Breathe 2,2021,98,Action Crime Horror,6,Rodo Sayagues,63822,32.64
Annihilation I,2018,115,Adventure Drama Horror,6.8,Alex Garland,340306,32.73
The Last House on the Left,2009,110,Horror Thriller,6.5,Dennis Iliadis,96680,32.75
Friday the 13th: The Final Chapter,1984,91,Horror Thriller,6,Joseph Zito,55244,32.98
It I,2017,135,Horror,7.3,Andy Muschietti,571035,327.48
Dracula 2000,2000,99,Action Fantasy Horror,4.9,Patrick Lussier,35130,33.02
The Rite,2011,114,Drama Horror Mystery,6,Mikael Håfström,100541,33.05
Child's Play,1988,87,Horror Thriller,6.6,Tom Holland,108877,33.24
Halloween II,2009,105,Horror,4.8,Rob Zombie,57387,33.39
Devil,2010,80,Horror Mystery Thriller,6.3,John Erick Dowdle,151728,33.58
Dreamcatcher,2003,134,Drama Horror Sci-Fi,5.5,Lawrence Kasdan,94534,33.72
Carrie,1976,98,Horror Mystery,7.4,Brian De Palma,195170,33.8
The Relic,1997,110,Horror Mystery Sci-Fi,5.8,Peter Hyams,29056,33.96
Texas Chainsaw,2013,92,Horror Thriller,4.8,John Luessenhop,53682,34.34
Psycho II,1983,113,Crime Horror Mystery,6.6,Richard Franklin,28989,34.73
Freddy's Dead: The Final Nightmare,1991,89,Fantasy Horror,4.7,Rachel Talalay,48694,34.87
Ouija: Origin of Evil,2016,99,Drama Horror Mystery,6.2,Mike Flanagan,68575,35.14
Carrie,2013,100,Drama Horror Thriller,5.8,Kimberly Peirce,144154,35.27
Frankenweenie,2012,87,Animation Comedy Drama,6.9,Tim Burton,112066,35.29
The Messengers,2007,90,Drama Horror Mystery,5.3,Danny Pang,40604,35.37
Jeepers Creepers 2,2003,104,Horror,5.6,Victor Salva,68038,35.67
The Mothman Prophecies,2002,119,Drama Horror Mystery,6.4,Mark Pellington,82494,35.75
The Boy,2016,97,Horror Mystery Thriller,6,William Brent Bell,97224,35.82
Vampires Suck,2010,82,Comedy Horror,3.4,Jason Friedberg,50206,36.66
Friday the 13th Part III,1982,95,Horror Thriller,5.6,Steve Miner,56597,36.69
The Roommate I,2011,91,Drama Horror Thriller,4.8,Christian E. Christiansen,40236,37.3
Abraham Lincoln: Vampire Hunter,2012,105,Action Fantasy Horror,5.9,Timur Bekmambetov,158657,37.52
Red Riding Hood,2011,100,Fantasy Horror Mystery,5.4,Catherine Hardwicke,113995,37.66
Jeepers Creepers,2001,90,Horror Mystery,6.2,Victor Salva,135446,37.9
The Brothers Grimm,2005,118,Action Adventure Comedy,5.9,Terry Gilliam,123953,37.92
Jigsaw I,2017,92,Horror Mystery Thriller,5.7,Michael Spierig,83738,38.05
Urban Legend,1998,99,Horror Mystery Thriller,5.6,Jamie Blanks,68975,38.07
Scream 4,2011,111,Comedy Horror Mystery,6.2,Wes Craven,162144,38.18
Little Shop of Horrors,1986,94,Comedy Horror Musical,7.1,Frank Oz,80770,38.75
Crawl I,2019,87,Action Adventure Horror,6.1,Alexandre Aja,88669,39.01
The Crazies,2010,101,Horror Thriller,6.5,Breck Eisner,125273,39.12
The Grudge 2,2006,102,Horror Thriller,5,Takashi Shimizu,50475,39.14
Pitch Black,2000,109,Action Horror Sci-Fi,7,David Twohy,247313,39.24
The Texas Chainsaw Massacre: The Beginning,2006,91,Horror Thriller,5.8,Jonathan Liebesman,75052,39.52
30 Days of Night,2007,113,Action Adventure Horror,6.6,David Slade,182693,39.57
Friday the 13th,1980,95,Horror Mystery Thriller,6.4,Sean S. Cunningham,146665,39.75
Idle Hands,1999,92,Comedy Fantasy Horror,6.2,Rodman Flender,45083,4
What Ever Happened to Baby Jane?,1962,134,Drama Horror Thriller,8,Robert Aldrich,58904,4.05
Black Christmas,1974,98,Horror Mystery Thriller,7.1,Bob Clark,44485,4.05
Twin Peaks: Fire Walk with Me,1992,134,Drama Horror Mystery,7.3,David Lynch,100656,4.16
The Omen,1976,111,Horror Mystery,7.5,Richard Donner,124612,4.27
The Bride of Frankenstein,1935,75,Drama Horror Sci-Fi,7.8,James Whale,50611,4.36
Pumpkinhead,1988,86,Fantasy Horror,6.2,Stan Winston,25833,4.39
Mindhunters,2004,106,Crime Horror Thriller,6.3,Renny Harlin,62706,4.48
Club Dread,2004,104,Comedy Horror Mystery,5.6,Jay Chandrasekhar,30873,4.99
I Still Know What You Did Last Summer,1998,100,Horror Mystery Thriller,4.7,Danny Cannon,76322,40
A Haunted House,2013,86,Comedy Fantasy Horror,5,Michael Tiddes,48272,40.04
The Faculty,1998,104,Horror Mystery Sci-Fi,6.6,Robert Rodriguez,128887,40.06
Resident Evil,2002,100,Action Horror Sci-Fi,6.6,Paul W.S. Anderson,279094,40.12
Legion,2010,100,Action Fantasy Horror,5.3,Scott Stewart,108043,40.17
The Fly,1986,96,Drama Horror Sci-Fi,7.6,David Cronenberg,191571,40.46
House on Haunted Hill,1999,93,Horror Mystery Thriller,5.6,William Malone,58487,40.85
Poltergeist II: The Other Side,1986,91,Horror,5.6,Brian Gibson,28529,41
The Last Exorcism,2010,87,Horror Mystery Thriller,5.7,Daniel Stamm,50953,41.03
Truth or Dare I,2018,100,Horror Thriller,5.2,Jeff Wadlow,59199,41.41
Gremlins 2: The New Batch,1990,106,Comedy Fantasy Horror,6.4,Joe Dante,108188,41.48
Orphan,2009,123,Horror Mystery Thriller,7,Jaume Collet-Serra,240096,41.6
The Hills Have Eyes,2006,107,Horror Thriller,6.4,Alexandre Aja,177032,41.78
Aliens vs. Predator: Requiem,2007,94,Action Adventure Horror,4.6,Colin Strause,129458,41.8
Exorcist: The Beginning,2004,114,Horror Mystery Thriller,5.1,Renny Harlin,37959,41.82
Thir13en Ghosts,2001,91,Fantasy Horror,5.6,Steve Beck,90122,41.87
Doctor Strange in the Multiverse of Madness,2022,126,Action Adventure Fantasy,6.9,Sam Raimi,440936,411.33
The Cabin in the Woods,2011,95,Horror Mystery Thriller,7,Drew Goddard,431746,42.07
Drag Me to Hell,2009,99,Horror,6.6,Sam Raimi,210357,42.1
Resident Evil: Retribution,2012,95,Action Horror Sci-Fi,5.3,Paul W.S. Anderson,146296,42.35
Krampus I,2015,98,Comedy Drama Fantasy,6.2,Michael Dougherty,79013,42.59
Final Destination 5,2011,92,Horror Thriller,5.9,Steven Quale,120525,42.59
The Unborn,2009,88,Horror Mystery Thriller,4.7,David S. Goyer,52574,42.67
Prom Night I,2008,88,Horror,3.9,Nelson McCormick,36982,43.87
The Shining,1980,146,Drama Horror,8.4,Stanley Kubrick,1051582,44.02
Hereditary,2018,127,Drama Horror Mystery,7.3,Ari Aster,343335,44.07
47 Meters Down,2017,89,Adventure Drama Horror,5.6,Johannes Roberts,58160,44.31
Hocus Pocus,1993,96,Comedy Family Fantasy,6.9,Kenny Ortega,145947,44.34
The Forever Purge,2021,103,Action Crime Horror,5.4,Everardo Gout,38456,44.54
A Nightmare on Elm Street 3: Dream Warriors,1987,96,Fantasy Horror,6.6,Chuck Russell,85536,44.79
28 Days Later,2002,113,Drama Horror Sci-Fi,7.5,Danny Boyle,425705,45.06
Ma I,2019,99,Horror Mystery Thriller,5.6,Tate Taylor,55805,45.37
Jaws 3-D,1983,99,Adventure Horror Thriller,3.7,Joe Alves,46082,45.52
Saw 3D,2010,90,Horror Mystery,5.5,Kevin Greutert,102181,45.71
Boogeyman,2005,89,Drama Horror Mystery,4.2,Stephen Kay,31868,46.75
Final Destination 2,2003,90,Horror Thriller,6.2,David R. Ellis,174051,46.96
Silent Hill,2006,125,Horror Mystery,6.5,Christophe Gans,236727,46.98
Halloween,1978,91,Horror Thriller,7.7,John Carpenter,289224,47
Hostel,2005,94,Horror,5.9,Eli Roth,185172,47.33
Poltergeist,2015,93,Horror Thriller,4.9,Gil Kenan,59621,47.43
Alien: Resurrection,1997,109,Action Horror Sci-Fi,6.2,Jean-Pierre Jeunet,254632,47.75
The Skeleton Key,2005,104,Drama Horror Mystery,6.5,Iain Softley,118968,47.81
When a Stranger Calls,2006,87,Horror Thriller,5.1,Simon West,47247,47.86
Sinister,2012,110,Horror Mystery Thriller,6.8,Scott Derrickson,264038,48.09
Old,2021,108,Drama Horror Mystery,5.8,M. Night Shyamalan,138969,48.28
The Possession I,2012,92,Horror Mystery Thriller,5.9,Ole Bornedal,61689,49.13
A Nightmare on Elm Street 4: The Dream Master,1988,93,Horror,5.6,Renny Harlin,58602,49.37
Dawn of the Dead,1978,127,Horror Thriller,7.8,George A. Romero,124374,5.1
Alone in the Dark,2005,96,Action Horror Sci-Fi,2.4,Uwe Boll,46403,5.18
Silver Bullet,1985,95,Horror,6.4,Daniel Attias,29605,5.4
Screamers,1995,108,Horror Sci-Fi Thriller,6.3,Christian Duguay,28447,5.78
Victor Frankenstein,2015,110,Drama Horror Sci-Fi,5.9,Paul McGuigan,58423,5.78
Day of the Dead,1985,101,Horror Thriller,7.1,George A. Romero,71624,5.8
The Hunt II,2020,90,Action Horror Thriller,6.5,Craig Zobel,120400,5.81
Night of the Living Dead,1990,92,Horror,6.8,Tom Savini,43906,5.84
Evil Dead II,1987,84,Comedy Horror,7.7,Sam Raimi,173914,5.92
Captive State,2019,109,Action Horror Sci-Fi,6,Rupert Wyatt,55880,5.96
The Hunger,1983,97,Drama Horror,6.6,Tony Scott,27761,5.98
Stigmata,1999,103,Horror Mystery,6.2,Rupert Wainwright,70383,50.05
Resident Evil: Extinction,2007,94,Action Horror Sci-Fi,6.2,Russell Mulcahy,200494,50.65
The Crow,1994,102,Action Crime Drama,7.5,Alex Proyas,190666,50.69
Ouija II,2014,89,Horror Mystery Thriller,4.5,Stiles White,54888,50.86
The Predator,2018,107,Action Adventure Horror,5.3,Shane Black,138182,51.02
Hide and Seek,2005,101,Horror Mystery,5.9,John Polson,87067,51.1
Resident Evil: Apocalypse,2004,94,Action Horror Sci-Fi,6.1,Alexander Witt,204741,51.2
My Bloody Valentine,2009,101,Horror Mystery Thriller,5.4,Patrick Lussier,58571,51.55
Insidious: Chapter 3,2015,97,Horror Mystery Thriller,6.1,Leigh Whannell,109420,52.22
Blade: Trinity,2004,113,Action Horror Sci-Fi,5.8,David S. Goyer,182834,52.41
The Strangers,2008,86,Horror Mystery Thriller,6.1,Bryan Bertino,136286,52.6
King Kong,1976,134,Adventure Horror,5.9,John Guillermin,34098,52.61
Sweeney Todd: The Demon Barber of Fleet Street,2007,116,Drama Horror Musical,7.3,Tim Burton,376557,52.9
Arachnophobia,1990,109,Comedy Horror Thriller,6.5,Frank Marshall,72630,53.21
The Devil Inside,2012,83,Horror,4.2,William Brent Bell,36661,53.26
Final Destination,2000,98,Horror Thriller,6.7,James Wong,266158,53.33
Paranormal Activity 4,2012,88,Horror Mystery,4.6,Henry Joost,68431,53.92
Insidious I,2010,103,Horror Mystery Thriller,6.8,James Wan,319707,54.01
Final Destination 3,2006,93,Horror Thriller,5.8,James Wong,147716,54.1
Evil Dead,2013,91,Horror,6.5,Fede Alvarez,187737,54.24
The Woman in Black,2012,95,Drama Fantasy Horror,6.4,James Watkins,187998,54.33
The Omen,2006,110,Drama Fantasy Horror,5.5,John Moore,60750,54.61
Pet Sematary,2019,101,Horror Mystery Thriller,5.7,Kevin Kölsch,94828,54.72
The Curse of La Llorona,2019,93,Horror Mystery Thriller,5.2,Michael Chaves,53361,54.73
Spawn,1997,96,Action Drama Horror,5.2,Mark A.Z. Dippé,70341,54.97
Halloween H20: 20 Years Later,1998,86,Horror Thriller,5.8,Steve Miner,78797,55.04
The Shallows,2016,86,Action Drama Horror,6.3,Jaume Collet-Serra,138096,55.12
The Haunting in Connecticut,2009,92,Drama Horror Mystery,5.8,Peter Cornwell,63528,55.39
Alien³,1992,114,Action Horror Sci-Fi,6.4,David Fincher,308197,55.47
Happy Death Day,2017,96,Comedy Horror Mystery,6.6,Christopher Landon,151732,55.68
Hansel & Gretel: Witch Hunters,2013,88,Action Fantasy Horror,6.1,Tommy Wirkola,211488,55.7
Saw,2004,103,Horror Mystery Thriller,7.6,James Wan,436144,56
Dracula Untold,2014,92,Action Drama Fantasy,6.2,Gary Shore,201494,56.28
White Noise I,2005,101,Drama Horror Mystery,5.5,Geoffrey Sax,49931,56.39
Saw V,2008,92,Horror Thriller,5.8,David Hackl,128997,56.75
Escape Room I,2019,99,Action Adventure Horror,6.4,Adam Robitel,131872,57.01
Pet Sematary,1989,103,Fantasy Horror Thriller,6.5,Mary Lambert,109162,57.47
Halloween,2007,109,Horror,6,Rob Zombie,125977,58.27
Death Becomes Her,1992,104,Comedy Fantasy Horror,6.6,Robert Zemeckis,124437,58.42
Dawn of the Dead,2004,101,Action Horror,7.3,Zack Snyder,263099,59.02
The Stepford Wives,2004,93,Comedy Horror Sci-Fi,5.3,Frank Oz,68040,59.48
Hellboy,2004,122,Action Adventure Fantasy,6.8,Guillermo del Toro,338908,59.62
Gothika,2003,98,Horror Mystery Thriller,5.8,Mathieu Kassovitz,116092,59.69
Predator,1987,107,Action Adventure Horror,7.8,John McTiernan,435400,59.74
Pacific Rim: Uprising,2018,111,Action Adventure Fantasy,5.6,Steven S. DeKnight,121533,59.87
The Dead Don't Die,2019,104,Comedy Fantasy Horror,5.5,Jim Jarmusch,82134,6.56
Species,1995,108,Action Horror Sci-Fi,5.8,Roger Donaldson,82499,60.07
Resident Evil: Afterlife,2010,96,Action Horror Sci-Fi,5.8,Paul W.S. Anderson,175349,60.13
Candyman,2021,91,Horror Thriller,5.9,Nia DaCosta,70762,61.19
The Cell,2000,107,Crime Horror Sci-Fi,6.4,Tarsem Singh,105734,61.33
Flatliners,1990,115,Drama Horror Sci-Fi,6.5,Joel Schumacher,90146,61.49
The Wolfman,2010,103,Drama Fantasy Horror,5.8,Joe Johnston,108821,61.98
Underworld: Awakening,2012,88,Action Fantasy Horror,6.3,Måns Mårlind,157941,62.32
A Nightmare on Elm Street,2010,95,Crime Drama Horror,5.2,Samuel Bayer,103828,63.08
Saw IV,2007,93,Horror Mystery Thriller,5.9,Darren Lynn Bousman,155334,63.3
The Witches of Eastwick,1987,118,Comedy Fantasy Horror,6.5,George Miller,73547,63.77
The Purge I,2013,85,Horror Sci-Fi Thriller,5.7,James DeMonaco,231096,64.47
Friday the 13th,2009,97,Horror Mystery Thriller,5.5,Marcus Nispel,111943,65
Wolf,1994,125,Drama Horror Romance,6.2,Mike Nichols,58267,65.01
The Visit I,2015,94,Horror Mystery Thriller,6.2,M. Night Shyamalan,142097,65.21
The Amityville Horror,2005,90,Horror,5.9,Andrew Douglas,114596,65.23
The Conjuring: The Devil Made Me Do It,2021,112,Horror Mystery Thriller,6.3,Michael Chaves,125072,65.63
Anaconda,1997,89,Action Adventure Horror,4.8,Luis Llosa,108000,65.89
Warm Bodies,2013,98,Comedy Horror Romance,6.8,Jonathan Levine,236475,66.38
The Final Destination,2009,82,Horror Thriller,5.1,David R. Ellis,110457,66.48
End of Days,1999,122,Action Fantasy Horror,5.8,Peter Hyams,113770,66.89
Lights Out II,2016,81,Horror Mystery,6.3,David F. Sandberg,135897,67.27
Insidious: The Last Key,2018,103,Horror Mystery Thriller,5.7,Adam Robitel,64055,67.75
Scary Stories to Tell in the Dark,2019,108,Adventure Horror Mystery,6.2,André Øvredal,80434,68.95
The First Purge,2018,97,Action Horror Sci-Fi,5.2,Gerard McMurray,66568,69.49
Eraserhead,1977,89,Fantasy Horror,7.3,David Lynch,121484,7
Bug,2006,102,Drama Horror Thriller,6.1,William Friedkin,36331,7.01
Turistas,2006,93,Horror Mystery Thriller,5.4,John Stockwell,39687,7.03
The Orphanage,2007,105,Drama Horror Mystery,7.4,J.A. Bayona,159601,7.16
The Green Inferno,2013,100,Adventure Horror,5.3,Eli Roth,46716,7.19
Maximum Overdrive,1986,98,Action Comedy Horror,5.4,Stephen King,34054,7.43
I Know Who Killed Me,2007,105,Horror Mystery Thriller,3.6,Chris Sivertson,30446,7.5
The Collector I,2009,90,Action Horror Thriller,6.3,Marcus Dunstan,68646,7.71
Unsane,2018,98,Drama Horror Mystery,6.4,Steven Soderbergh,48245,7.73
Slither,2006,95,Comedy Horror Sci-Fi,6.5,James Gunn,85847,7.77
Vampire Academy,2014,104,Action Comedy Drama,5.4,Mark Waters,55923,7.79
Dead Calm,1989,96,Horror Thriller,6.8,Phillip Noyce,42222,7.83
Blade,1998,120,Action Horror Sci-Fi,7.1,Stephen Norrington,285069,70.09
The Invisible Man I,2020,124,Drama Horror Mystery,7.1,Leigh Whannell,238588,70.41
Scary Movie 2,2001,83,Comedy Horror,5.3,Keenen Ivory Wayans,167717,71.31
Mama I,2013,100,Fantasy Horror Thriller,6.2,Andy Muschietti,186159,71.63
The Purge: Anarchy,2014,103,Action Horror Sci-Fi,6.4,James DeMonaco,156986,71.96
10 Cloverfield Lane,2016,103,Drama Horror Mystery,7.2,Dan Trachtenberg,340537,72.08
I Know What You Did Last Summer,1997,101,Horror Mystery,5.8,Jim Gillespie,152273,72.59
Zombieland: Double Tap,2019,99,Action Comedy Horror,6.7,Ruben Fleischer,189496,73.12
Hollow Man,2000,112,Action Horror Sci-Fi,5.8,Paul Verhoeven,134598,73.21
Morbius,2022,104,Action Adventure Horror,5.2,Daniel Espinosa,137749,73.87
Annabelle Comes Home,2019,106,Horror Mystery Thriller,5.9,Gary Dauberman,80369,74.15
Alien: Covenant,2017,122,Horror Sci-Fi Thriller,6.4,Ridley Scott,290465,74.26
The Exorcism of Emily Rose,2005,119,Drama Horror Thriller,6.7,Scott Derrickson,134571,75.07
Zombieland,2009,88,Action Comedy Horror,7.6,Ruben Fleischer,596433,75.59
Hellboy II: The Golden Army,2008,120,Action Adventure Fantasy,7,Guillermo del Toro,278818,75.75
The Haunted Mansion,2003,88,Comedy Family Fantasy,5.1,Rob Minkoff,51618,75.85
Constantine,2005,121,Action Fantasy Horror,7,Francis Lawrence,359071,75.98
The Ring Two,2005,110,Horror Mystery,5.4,Hideo Nakata,98602,76.23
Poltergeist,1982,114,Horror Thriller,7.3,Tobe Hooper,170924,76.61
Where the Wild Things Are,2009,101,Adventure Drama Family,6.7,Spike Jonze,106812,77.23
Alien,1979,117,Horror Sci-Fi,8.5,Ridley Scott,905275,78.9
The Purge: Election Year,2016,108,Action Horror Sci-Fi,6,James DeMonaco,105370,79.21
Dark Shadows,2012,113,Comedy Fantasy Horror,6.2,Tim Burton,273371,79.73
The Texas Chainsaw Massacre 2,1986,101,Comedy Horror,5.6,Tobe Hooper,35333,8.03
A Cure for Wellness,2016,146,Drama Fantasy Horror,6.4,Gore Verbinski,104306,8.11
The Blob,1988,95,Horror Sci-Fi Thriller,6.6,Chuck Russell,40349,8.25
Shadow of the Vampire,2000,92,Drama Horror,6.9,E. Elias Merhige,43072,8.29
Ghosts of Mars,2001,98,Action Horror Sci-Fi,4.9,John Carpenter,56213,8.43
Leprechaun,1993,92,Comedy Fantasy Horror,4.8,Mark Jones,28663,8.56
Unfriended: Dark Web,2018,92,Horror Mystery Thriller,6,Stephen Susco,35242,8.78
In the Mouth of Madness,1994,95,Drama Fantasy Horror,7.1,John Carpenter,74185,8.95
Cloverfield,2008,85,Action Adventure Horror,7,Matt Reeves,409328,80.05
Goosebumps,2015,103,Adventure Comedy Fantasy,6.3,Rob Letterman,91906,80.08
The Mummy,2017,110,Action Adventure Fantasy,5.4,Alex Kurtzman,196693,80.1
Saw III,2006,108,Horror Mystery Thriller,6.2,Darren Lynn Bousman,199970,80.24
Alien vs. Predator,2004,101,Action Adventure Horror,5.6,Paul W.S. Anderson,205934,80.28
The Texas Chainsaw Massacre,2003,98,Crime Horror,6.2,Marcus Nispel,147172,80.57
Scream I,2022,114,Horror Mystery Thriller,6.3,Matt Bettinelli-Olpin,138199,81.64
Blade II,2002,117,Action Horror Sci-Fi,6.7,Guillermo del Toro,225970,82.35
Bram Stoker's Dracula,1992,128,Drama Fantasy Horror,7.4,Francis Ford Coppola,226027,82.52
Freddy vs. Jason,2003,97,Action Horror,5.7,Ronny Yu,123003,82.62
Insidious: Chapter 2,2013,106,Horror Mystery Thriller,6.5,James Wan,177423,83.59
Scooby-Doo 2: Monsters Unleashed,2004,93,Adventure Comedy Family,5.2,Raja Gosnell,61313,84.22
Annabelle I,2014,99,Horror Mystery Thriller,5.4,John R. Leonetti,166025,84.27
Paranormal Activity 2,2010,91,Horror Mystery,5.7,Tod Williams,107097,84.75
The Amityville Horror,1979,117,Horror,6.1,Stuart Rosenberg,41808,86.43
Saw II,2005,93,Horror Mystery,6.6,Darren Lynn Bousman,260764,87.04
Scream 3,2000,116,Horror Mystery,5.6,Wes Craven,155289,89.14
Don't Breathe,2016,88,Crime Horror Thriller,7.1,Fede Alvarez,286498,89.22
Meet the Blacks,2016,94,Comedy Horror,4.8,Deon Taylor,37146,9.09
Dead Ringers,1988,116,Drama Horror Thriller,7.2,David Cronenberg,50992,9.13
Village of the Damned,1995,98,Horror Sci-Fi Thriller,5.6,John Carpenter,33118,9.42
The Black Phone,2021,103,Horror Thriller,6.9,Scott Derrickson,168369,90.12
The Haunting,1999,113,Fantasy Horror Mystery,5,Jan de Bont,78402,91.41
Halloween Kills,2021,105,Horror Thriller,5.5,David Gordon Green,91008,92
